drill,hole,score,prediction,label
drill_4mm_12,25,0.3030312657356262,0,0
drill_4mm_12,26,0.4141080677509308,0,0
drill_4mm_12,27,0.07395796477794647,0,0
drill_4mm_12,28,0.18450039625167847,0,0
drill_4mm_12,29,0.1701916605234146,0,0
drill_4mm_12,30,0.19292718172073364,0,0
drill_4mm_12,31,0.7704045176506042,0,0
drill_4mm_12,32,0.3767872750759125,0,0
drill_4mm_12,33,0.6247327923774719,0,0
drill_4mm_12,34,0.543266236782074,0,0
drill_4mm_12,35,0.2668427526950836,0,0
drill_4mm_12,36,0.8222638368606567,0,0
drill_4mm_12,37,0.7588085532188416,0,1
drill_4mm_12,38,0.8681952953338623,0,1
drill_4mm_12,39,0.728218674659729,0,1
drill_4mm_12,40,0.8836977481842041,0,1
drill_4mm_12,41,0.3143586218357086,0,1
drill_4mm_12,42,0.713850736618042,0,1
drill_4mm_12,43,0.9078717827796936,0,1
drill_4mm_12,44,0.556179940700531,0,1
drill_4mm_13,1,0.007016564719378948,0,0
drill_4mm_13,2,0.004418464377522469,0,0
drill_4mm_13,3,0.0038390171248465776,0,0
drill_4mm_13,4,0.004525941330939531,0,0
drill_4mm_13,5,0.03106825239956379,0,0
drill_4mm_13,6,0.014483466744422913,0,0
drill_4mm_13,7,0.5923565030097961,0,0
drill_4mm_13,8,0.012265208177268505,0,0
drill_4mm_13,9,0.011384457349777222,0,0
drill_4mm_13,10,0.048025596886873245,0,0
drill_4mm_13,11,0.09750589728355408,0,0
drill_4mm_13,12,0.14279423654079437,0,0
drill_4mm_13,13,0.041790205985307693,0,0
drill_4mm_13,14,0.6695671677589417,0,0
drill_4mm_13,15,0.36030009388923645,1,0
drill_4mm_13,16,0.294228732585907,1,0
drill_4mm_13,17,0.18090902268886566,1,0
drill_4mm_13,18,0.2291324883699417,1,0
drill_4mm_13,19,0.04188471660017967,0,0
drill_4mm_13,20,0.12476261705160141,0,0
drill_4mm_13,21,0.0663779005408287,0,0
drill_4mm_13,22,0.04136195778846741,0,0
drill_4mm_13,23,0.017926611006259918,0,0
drill_4mm_13,24,0.023468399420380592,0,0
drill_4mm_13,25,0.006492334417998791,0,0
drill_4mm_13,26,0.010044660419225693,0,0
drill_4mm_13,27,0.006259785499423742,0,0
drill_4mm_13,28,0.01200837455689907,0,0
drill_4mm_13,29,0.5614429712295532,0,0
drill_4mm_13,30,0.35056638717651367,1,0
drill_4mm_13,31,0.14237259328365326,1,0
drill_4mm_13,32,0.12366300821304321,1,1
drill_4mm_13,33,0.8608407974243164,1,1
drill_4mm_13,34,0.7607412934303284,1,1
drill_4mm_13,35,0.7226381301879883,1,1
drill_4mm_13,36,0.146475687623024,1,1
drill_4mm_13,37,0.5457130670547485,1,1
drill_4mm_13,38,0.2811304032802582,1,1
drill_4mm_14,1,0.7284182906150818,0,0
drill_4mm_14,2,0.010588472709059715,0,0
drill_4mm_14,3,0.004127506632357836,0,0
drill_4mm_14,4,0.008571089245378971,0,0
drill_4mm_14,5,0.005962964612990618,0,0
drill_4mm_14,6,0.009125534445047379,0,0
drill_4mm_14,7,0.022866709157824516,0,0
drill_4mm_14,8,0.019997762516140938,0,0
drill_4mm_14,9,0.8063861727714539,0,0
drill_4mm_14,10,0.5037195086479187,0,0
drill_4mm_14,11,0.031481530517339706,0,0
drill_4mm_14,12,0.20188948512077332,0,0
drill_4mm_14,13,0.8693103790283203,0,0
drill_4mm_14,14,0.769231379032135,1,0
drill_4mm_14,15,0.6410285830497742,0,0
drill_4mm_14,16,0.27153247594833374,0,0
drill_4mm_14,17,0.467716246843338,0,1
drill_4mm_14,18,0.3565746247768402,0,1
drill_4mm_14,19,0.524653434753418,0,1
drill_4mm_15,1,0.003479940118268132,0,0
drill_4mm_15,2,0.006662111729383469,0,0
drill_4mm_15,3,0.451112300157547,0,0
drill_4mm_15,4,0.012278247624635696,0,0
drill_4mm_15,5,0.01114054024219513,0,0
drill_4mm_15,6,0.010191584005951881,0,0
drill_4mm_15,7,0.011135955341160297,0,0
drill_4mm_15,8,0.016525976359844208,0,0
drill_4mm_15,9,0.0388057678937912,0,0
drill_4mm_15,10,0.04732123389840126,0,0
drill_4mm_15,11,0.04732123389840126,0,0
drill_4mm_15,12,0.03633369877934456,0,0
drill_4mm_15,13,0.051855359226465225,0,0
drill_4mm_15,14,0.04482283443212509,0,0
drill_4mm_15,15,0.045592065900564194,0,0
drill_4mm_15,16,0.019672000780701637,0,0
drill_4mm_15,17,0.03596390783786774,0,0
drill_4mm_15,18,0.023473087698221207,0,0
drill_4mm_15,19,0.027377242222428322,0,0
drill_4mm_15,20,0.03297918662428856,0,0
drill_4mm_15,21,0.01982264220714569,0,0
drill_4mm_15,22,0.01878906786441803,0,0
drill_4mm_15,23,0.010553216561675072,0,0
drill_4mm_15,24,0.021455448120832443,0,0
drill_4mm_15,25,0.053702641278505325,0,0
drill_4mm_15,26,0.02654079534113407,0,0
drill_4mm_15,27,0.02172190509736538,0,0
drill_4mm_15,28,0.018247835338115692,0,0
drill_4mm_15,29,0.015072784386575222,0,0
drill_4mm_15,30,0.1294868290424347,0,0
drill_4mm_15,31,0.022967031225562096,0,0
drill_4mm_15,32,0.030006026849150658,0,0
drill_4mm_15,33,0.6294702887535095,0,0
