drill,hole,score,label,threshold,prediction,drill_lead_time
drill_4mm_07_batch_00_collet_1_31-01-2025,27,0.25280705,1,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,28,0.038922463,1,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,29,0.022954317,1,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,30,0.030815756,1,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,31,0.81420165,1,0.820519208908081,0,0
drill_4mm_07_batch_00_collet_1_31-01-2025,32,0.20110561,1,0.820519208908081,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,1,0.026077908,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,2,0.0027539858,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,3,0.0026566756,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,4,0.0024155958,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,5,0.0015729999,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,6,0.003666129,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,7,0.6957294,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,8,0.017119432,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,9,0.011508707,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,10,0.05344418,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,11,0.054936647,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,12,0.029041188,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,13,0.006546698,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,14,0.008848994,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,15,0.0064396095,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,16,0.041769214,0,0.1,0,0
drill_4mm_08_batch_00_collet_1_31-01-2025,17,0.2196855,0,0.1,0,0
